,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Volume
0,2015-01-01,8272.8,8294.7,8248.75,8284.0,56560411,2321.88,56560411.0
1,2015-01-02,8288.7,8410.6,8288.7,8395.45,101887024,4715.72,101887024.0
2,2015-01-05,8407.95,8445.6,8363.9,8378.4,118160545,5525.52,118160545.0
3,2015-01-06,8325.3,8327.85,8111.35,8127.35,172799618,8089.19,172799618.0
4,2015-01-07,8118.65,8151.2,8065.45,8102.1,164075424,7464.33,164075424.0
5,2015-01-08,8191.4,8243.5,8167.3,8234.6,143802802,8147.4,143802802.0
6,2015-01-09,8285.45,8303.3,8190.8,8284.5,152612528,9305.95,152612528.0
7,2015-01-12,8291.35,8332.6,8245.6,8323.0,103153908,5437.76,103153908.0
8,2015-01-13,8346.15,8356.65,8267.9,8299.4,129561892,6499.2,129561892.0
9,2015-01-14,8307.25,8326.45,8236.65,8277.55,150621631,7020.91,150621631.0
10,2015-01-15,8424.5,8527.1,8380.55,8494.15,232138802,10725.62,232138802.0
11,2015-01-16,8504.05,8530.75,8452.25,8513.8,181365905,8690.54,181365905.0
12,2015-01-19,8550.05,8570.95,8531.5,8550.7,129346422,6292.59,129346422.0
13,2015-01-20,8575.1,8707.9,8574.5,8695.6,158713840,7838.19,158713840.0
14,2015-01-21,8719.65,8741.85,8689.6,8729.5,191651012,9735.99,191651012.0
15,2015-01-22,8745.85,8774.15,8727.0,8761.4,180912372,9025.95,180912372.0
16,2015-01-23,8827.95,8866.4,8795.4,8835.6,197124706,9716.57,197124706.0
17,2015-01-27,8871.35,8925.05,8825.45,8910.5,192010521,9988.36,192010521.0
18,2015-01-28,8902.75,8985.05,8874.05,8914.3,190805926,10313.46,190805926.0
19,2015-01-29,8901.5,8966.65,8861.25,8952.35,264245843,13427.54,264245843.0
20,2015-01-30,8996.6,8996.6,8775.1,8808.9,275587957,12385.18,275587957.0
21,2015-02-02,8802.5,8840.8,8751.1,8797.4,216556534,10430.34,216556534.0
22,2015-02-03,8823.15,8837.3,8726.65,8756.55,208672175,9888.1,208672175.0
